adapter	dump_status	compile_status	snapshot_count	adapter_sha256	suffix_tool_sha256	before_cvpipelining_files
kernels_vllm_rejection_random_sample_kernel.ttadapter	complete	fail:1	1	7cbad45b841369ebf5cfaf1265982df3a9b94e5c9f91deb3094aa7c7e94721a0	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/kernels_vllm_rejection_random_sample_kernel.ttadapter/before_cvpipelining_func_func_rejection_random_sample_kernel_32.mlir
kernels_vllm_sample_recovered_tokens_kernel.ttadapter	complete	fail:1	1	0ebae8c54c7ca2e4fb990d9528c11d4c7591544996d354eacaa206da75a51262	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/kernels_vllm_sample_recovered_tokens_kernel.ttadapter/before_cvpipelining_func_func_sample_recovered_tokens_kernel_32.mlir
kernels_vllm_solve_tril_16x16_kernel.ttadapter	complete	fail:1	1	db3093cf4ae5014eae65a419b5fa870e49785371fb3ba15251b6b6bb4600c703	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/kernels_vllm_solve_tril_16x16_kernel.ttadapter/before_cvpipelining_func_func_solve_tril_16x16_kernel_32.mlir
layernorm_bench.ttadapter	complete	fail:1	1	856deaf77ee8082c0875d0409a44cb8840e1b0d2a58b4d1928ba23bfc1aa5409	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/layernorm_bench.ttadapter/before_cvpipelining_func_func_layernorm_kernel_32.mlir
python_tutorial_01-vector-add.ttadapter	complete	fail:1	1	8a2906461df94bc4d60611944aa4f13421e50676a0e8f68070e46700e79c2d1b	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/python_tutorial_01-vector-add.ttadapter/before_cvpipelining_func_func_add_kernel_32.mlir
python_tutorial_02-fused-softmax.ttadapter	complete	fail:1	1	12a4b3ec6ab880815c837af7b6e64cec06cc95bd056d701a12bb11a568102de7	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/python_tutorial_02-fused-softmax.ttadapter/before_cvpipelining_func_func_softmax_kernel_32.mlir
python_tutorial_03-matrix-multiplication.ttadapter	complete	fail:1	1	e9f09c55298feb93c7f76279ccdcb594df5265f431ee814fbc728af5c49ccaca	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/python_tutorial_03-matrix-multiplication.ttadapter/before_cvpipelining_func_func_matmul_kernel_32.mlir
python_tutorial_04-low-memory-dropout.ttadapter	complete	fail:1	1	e52b1f1799953f78480520534cc5a27f59db3f0f91418bee25dfc240a4408e2d	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/python_tutorial_04-low-memory-dropout.ttadapter/before_cvpipelining_func_func_dropout_32.mlir
python_tutorial_05-layer-norm.ttadapter	complete	fail:1	1	ad8ef14f0457a76619c1ef7c5b56f0ea365b54e7fc94507ab8fe88b435e83386	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/python_tutorial_05-layer-norm.ttadapter/before_cvpipelining_func_func_layer_norm_fwd_fused_32.mlir
python_tutorial_06-fused-attention.ttadapter	complete	fail:1	1	1808a585cada210f4c9c6772f485cddae84e092a9b8cdfe65a65dfecdf158313	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/python_tutorial_06-fused-attention.ttadapter/before_cvpipelining_func_func_attn_fwd_32.mlir
python_tutorial_07-extern-functions.ttadapter	complete	fail:1	1	f86d4cad45e6b68e6d8a40bab797d27201c0c87d81123fa19202c88df6845ec8	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/python_tutorial_07-extern-functions.ttadapter/before_cvpipelining_func_func_asin_kernel_32.mlir
python_tutorial_08-grouped-gemm.ttadapter	complete	fail:1	1	6c1483b52828d7e27ba80f5bef5201cff7341e6f065746901a6b2a8835f22250	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/python_tutorial_08-grouped-gemm.ttadapter/before_cvpipelining_func_func_grouped_matmul_kernel_32.mlir
python_tutorial_09-persistent-matmul.ttadapter	complete	fail:1	1	2eff3544a451c9034e6fc2841ab5dd6caf1c77239fd2885a74bf320df430bb0d	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/python_tutorial_09-persistent-matmul.ttadapter/before_cvpipelining_func_func_matmul_kernel_32.mlir
python_tutorial_10-block-scaled-matmul.ttadapter	complete	fail:1	1	46643e3f905cd83fbe42c284c0f28fa2d5cf720c706ecd3621c567de95af4202	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/python_tutorial_10-block-scaled-matmul.ttadapter/before_cvpipelining_func_func_block_scaled_matmul_ascend_kernel_32.mlir
python_tutorial_11-programmatic-dependent-launch.ttadapter	complete	fail:1	1	3624ed53f6e13325c3c896f25ce1c736016ac9086945037bcb9a51a6b393269d	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/python_tutorial_11-programmatic-dependent-launch.ttadapter/before_cvpipelining_func_func_add_kernel_32.mlir
rmsnorm_bench.ttadapter	complete	fail:1	1	53313eb3aa603a7c280949a3bcf88ca3f227c21ba179cb12ff5fcc58773895de	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/rmsnorm_bench.ttadapter/before_cvpipelining_func_func_rmsnorm_kernel_32.mlir
s0_original_baseline_5800us.ttadapter	complete	fail:1	1	c43b817b4c7f3e27ac9c8812eed75a3a4611a7c8d66624b2ee14c1c15188a6e3	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/s0_original_baseline_5800us.ttadapter/before_cvpipelining_func_func_sparse_flash_attention_prefill_kernel_cvpipe_32.mlir
s1_exp3_BLOCK_V_512_5392us.ttadapter	complete	fail:1	1	5ef904add40a0ef57a38bb72254e95eb71f46c1b88275606c913208aa233f26f	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/s1_exp3_BLOCK_V_512_5392us.ttadapter/before_cvpipelining_func_func_sparse_flash_attention_prefill_kernel_cvpipe_32.mlir
s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter	complete	fail:1	1	6d5e2ba7a55ddb5b9aadd61de9f41ec0fb18c9f48f51dac3349fd2ddd9398bc0	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/s2_exp4b_BLOCK_SBS_256_multibuffer_False_4356us.ttadapter/before_cvpipelining_func_func_sparse_flash_attention_prefill_kernel_cvpipe_32.mlir
s3_exp6_mixed_cv_False_4337us.ttadapter	complete	fail:1	1	201ba0a744c3eeca76cbe786e414057afde6443ab9be128e9493ca0a6e0e1b77	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/s3_exp6_mixed_cv_False_4337us.ttadapter/before_cvpipelining_func_func_sparse_flash_attention_prefill_kernel_cvpipe_32.mlir
s4_exp10_workspace_sv_bf16_4294us.ttadapter	complete	fail:1	1	efafa56d99a575587a117a028b4de26c03b6e3197bf719eaf3c911fe467a51a3	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/s4_exp10_workspace_sv_bf16_4294us.ttadapter/before_cvpipelining_func_func_sparse_flash_attention_prefill_kernel_cvpipe_32.mlir
s5_exp15_hivm_auto_cv_balance_4235us.ttadapter	complete	fail:1	1	b4bda454d596df0f9137c29c39d1b4186293f2f6e4c50c6f0c7aaa4a0af6b4a2	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/s5_exp15_hivm_auto_cv_balance_4235us.ttadapter/before_cvpipelining_func_func_sparse_flash_attention_prefill_kernel_cvpipe_32.mlir
s6_exp25_tile_mix_cube4_vec1_4075us.ttadapter	complete	fail:1	1	90a94d16d58d6240a969345ca9d088fb52da2f000abf7150793feb30da75f6d9	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/s6_exp25_tile_mix_cube4_vec1_4075us.ttadapter/before_cvpipelining_func_func_sparse_flash_attention_prefill_kernel_cvpipe_32.mlir
